Lead_ID,Application_Submitted,Date_Application
L001,Yes,2025-01-20
L002,Yes,2025-01-22
L003,No,
L004,No,
L005,Yes,2025-01-24
L006,Yes,2025-01-26
L007,No,
L008,Yes,2025-01-28
L009,Yes,2025-01-30
L010,Yes,2025-02-01
L011,No,
L012,Yes,2025-02-03
L013,Yes,2025-02-05
L014,Yes,2025-02-07
L015,No,
L016,Yes,2025-02-09
L017,Yes,2025-02-11
L018,Yes,2025-02-13
L019,No,
L020,Yes,2025-02-15
L021,Yes,2025-02-17
L022,Yes,2025-02-19
L023,No,
L024,Yes,2025-02-21
L025,Yes,2025-02-23
L026,Yes,2025-02-25
L027,No,
L028,Yes,2025-02-27
L029,Yes,2025-03-01
L030,Yes,2025-03-03
