Lead_ID,Counselling_Attended,Counsellor,Date_Counselling
L001,Yes,Counsellor_A,2025-01-12
L002,Yes,Counsellor_B,2025-01-13
L003,No,,
L004,Yes,Counsellor_A,2025-01-15
L005,Yes,Counsellor_B,2025-01-16
L006,Yes,Counsellor_A,2025-01-17
L007,No,,
L008,Yes,Counsellor_B,2025-01-19
L009,Yes,Counsellor_A,2025-01-20
L010,Yes,Counsellor_B,2025-01-21
L011,No,,
L012,Yes,Counsellor_A,2025-01-23
L013,Yes,Counsellor_B,2025-01-24
L014,Yes,Counsellor_A,2025-01-25
L015,No,,
L016,Yes,Counsellor_B,2025-01-27
L017,Yes,Counsellor_A,2025-01-28
L018,Yes,Counsellor_B,2025-01-29
L019,No,,
L020,Yes,Counsellor_A,2025-01-31
L021,Yes,Counsellor_B,2025-02-01
L022,Yes,Counsellor_A,2025-02-02
L023,No,,
L024,Yes,Counsellor_B,2025-02-04
L025,Yes,Counsellor_A,2025-02-05
L026,Yes,Counsellor_B,2025-02-06
L027,No,,
L028,Yes,Counsellor_A,2025-02-08
L029,Yes,Counsellor_B,2025-02-09
L030,Yes,Counsellor_A,2025-02-10
